Configuration;Best way;Its distance;Average way;Dispersion
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP50 PC-2;3-6-15-14-7-12-10-4-2-11-8-1-13-5-9-3;77.07;82.765;[77.07-85.58]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP50 PC-3;14-5-13-11-9-3-6-2-7-12-15-8-1-10-4-14;70.58;82.7625;[70.58-90.75]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP100 PC-1;4-7-2-15-12-6-3-9-5-13-8-1-11-14-10-4;64.95;69.705;[64.95-76.9]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP100 PC-2;4-12-7-15-2-6-3-9-8-11-5-13-1-14-10-4;62.97;74.525;[62.97-82.14]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP100 PC-3;8-4-14-10-12-7-15-2-6-9-3-5-13-11-1-8;61.36;70.3225;[61.36-77.24]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP10 PC-1;13-8-14-10-15-4-11-9-5-3-6-2-12-7-1-13;83.29;92.545;[83.29-99.97]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP10 PC-2;14-8-9-1-13-5-3-11-6-2-12-4-7-15-10-14;87.16;94.945;[87.16-106.38]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP10 PC-3;8-1-5-13-11-4-10-15-14-7-12-2-3-9-6-8;76.63;95.2875;[76.63-104.01]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP50 PC-1;6-3-7-10-4-2-12-14-15-8-5-13-11-1-9-6;80.71;88.5575;[80.71-98.47]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP50 PC-2;7-15-10-8-5-13-11-6-3-9-1-2-14-4-12-7;83.9;88.71;[83.9-95.19]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP50 PC-3;2-6-12-10-15-14-8-7-4-1-9-5-13-11-3-2;88.77;93.2925;[88.77-98.24]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP100 PC-1;12-2-6-3-9-1-5-13-11-8-4-15-10-14-7-12;60.61;83.2075;[60.61-98.08]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP100 PC-2;9-5-11-13-8-12-2-6-1-10-14-4-7-15-3-9;81.52;92.625;[81.52-98.05]
CR-0 PN-50 G-25 PP-5 SM-1 MAX_STEP100 PC-3;4-1-11-5-13-8-12-14-10-3-9-6-15-2-7-4;88.23;90.78;[88.23-94.8]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP10 PC-1;8-7-15-2-12-4-6-3-14-10-13-9-1-11-5-8;92.68;96.1925;[92.68-99.79]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP10 PC-2;13-5-1-11-9-6-3-8-15-2-7-10-14-12-4-13;88.35;94.45;[88.35-99.47]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP10 PC-3;12-7-2-6-10-4-15-13-11-1-14-8-5-9-3-12;84.13;95.5025;[84.13-102.07]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP50 PC-1;11-1-8-14-10-7-4-15-2-12-6-9-3-13-5-11;62.92;79.6625;[62.92-98.18]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP50 PC-2;13-11-1-8-14-15-12-2-6-9-3-7-4-10-5-13;67.91;77.65;[67.91-86.71]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3-9-11-5-13-8-1-7-15-10-14-4-12-6-2-3;71.16;80.235;[71.16-91.52]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1-8-14-10-2-15-4-12-7-6-3-9-13-5-11-1;59.21;69.5625;[59.21-75.96]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP100 PC-2;12-15-7-10-4-14-1-11-13-8-5-9-3-6-2-12;63.88;76.2575;[63.88-84.45]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2-12-7-15-6-3-9-1-8-5-13-11-10-14-4-2;69.99;78.8425;[69.99-94.4]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP10 PC-1;6-3-12-2-10-7-13-9-5-11-8-1-14-15-4-6;90.56;94.285;[90.56-100.13]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP10 PC-2;11-1-14-8-4-15-9-6-2-7-10-12-3-5-13-11;85.89;90.94;[85.89-95.96]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP10 PC-3;7-12-2-6-3-14-15-9-5-11-1-8-13-10-4-7;81.28;91.185;[81.28-95.16]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1-8-14-2-15-4-7-10-12-3-6-9-5-13-11-1;67.01;74.41;[67.01-89.89]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP50 PC-2;9-3-6-2-14-8-1-11-13-5-10-4-7-12-15-9;68.94;73.8725;[68.94-81.45]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3-9-5-13-11-8-1-4-14-15-7-12-10-2-6-3;65.06;76.7225;[65.06-89.47]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP100 PC-1;12-15-10-8-13-11-5-1-14-4-9-3-2-6-7-12;79.43;80.83;[79.43-82.18]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2-6-3-9-5-11-13-1-14-7-4-15-10-8-12-2;65.53;78.0275;[65.53-90.66]
CR-0 PN-50 G-25 PP-5 SM-2 B-2 MAX_STEP100 PC-3;10-14-8-1-11-13-5-6-3-9-7-12-4-2-15-10;67.78;69.5175;[67.78-72.46]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP10 PC-1;14-15-4-8-1-5-9-6-2-12-7-13-11-3-10-14;85.04;94.1875;[85.04-99.86]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP10 PC-2;13-11-1-15-14-8-10-4-2-3-9-6-12-7-5-13;81.86;95.665;[81.86-100.83]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP10 PC-3;6-15-14-7-4-8-1-11-13-9-5-10-12-2-3-6;79.73;89.0225;[79.73-97.57]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP50 PC-1;15-4-7-2-6-12-8-13-9-3-5-1-11-14-10-15;82.57;87.7975;[82.57-91.52]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP50 PC-2;8-9-3-5-11-13-1-14-4-10-7-15-12-2-6-8;78.11;83.59;[78.11-94.13]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP50 PC-3;2-6-3-11-1-13-5-9-10-15-14-8-4-7-12-2;73.6;85.8725;[73.6-93.57]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP100 PC-1;6-2-4-10-14-7-15-12-8-9-5-11-13-1-3-6;75.49;86.6475;[75.49-95.4]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP100 PC-2;9-11-5-13-1-8-14-4-2-7-6-12-10-15-3-9;78.08;84.89;[78.08-88.5]
CR-0 PN-50 G-25 PP-10 SM-1 MAX_STEP100 PC-3;13-5-9-8-14-4-10-2-7-15-12-3-6-1-11-13;76.35;84.4625;[76.35-90.78]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP10 PC-1;14-2-12-4-7-8-5-1-11-13-9-3-6-10-15-14;78.71;86.3525;[78.71-97.31]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP10 PC-2;8-1-11-13-5-4-7-12-2-6-9-3-10-14-15-8;72.02;83.7875;[72.02-92.38]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP10 PC-3;11-9-5-13-7-15-10-14-8-1-4-2-12-3-6-11;88.76;92.115;[88.76-96.86]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP50 PC-1;1-14-8-10-12-7-4-15-2-6-3-9-5-13-11-1;58.28;66.1325;[58.28-73.25]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP50 PC-2;2-6-10-14-15-7-12-4-8-1-5-13-11-9-3-2;66.25;71.195;[66.25-80.06]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP50 PC-3;14-10-4-11-13-8-1-5-3-9-6-2-12-7-15-14;71;76.38;[71-83.7]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP100 PC-1;15-7-12-4-10-14-8-11-1-13-5-9-3-6-2-15;52.97;67.755;[52.97-79.15]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP100 PC-2;9-3-2-6-12-10-14-1-8-15-7-4-11-13-5-9;74.3;78.8425;[74.3-82.38]
CR-0 PN-50 G-25 PP-10 SM-2 B-2 MAX_STEP100 PC-3;4-7-12-2-9-3-6-5-11-1-13-8-14-10-15-4;65.77;74.14;[65.77-79.11]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP10 PC-1;3-9-6-2-4-7-12-15-8-11-13-5-1-10-14-3;75.63;80.7475;[75.63-85.05]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP10 PC-2;6-2-14-8-4-12-7-10-15-5-13-11-1-9-3-6;75.23;86.4975;[75.23-91.75]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP10 PC-3;9-13-11-5-1-8-3-6-2-15-10-7-12-4-14-9;75.81;83.6775;[75.81-87.98]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP50 PC-1;10-4-15-7-12-6-2-9-3-5-13-11-1-8-14-10;58.31;70.065;[58.31-83.41]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP50 PC-2;12-9-5-13-11-1-8-3-2-6-7-4-10-14-15-12;72.66;78.7275;[72.66-88.68]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP50 PC-3;11-8-10-12-15-4-7-14-2-6-3-9-5-13-1-11;64.11;75.9675;[64.11-94.74]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP100 PC-1;1-8-14-10-2-6-3-12-15-7-4-9-11-5-13-1;69.77;72.4475;[69.77-75.33]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP100 PC-2;3-6-12-2-10-15-7-4-14-8-5-13-11-1-9-3;65.34;70.395;[65.34-75.26]
CR-0 PN-50 G-25 PP-10 SM-2 B-4 MAX_STEP100 PC-3;13-11-1-9-3-6-7-10-4-15-2-12-14-8-5-13;68.15;71.9325;[68.15-79.33]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP10 PC-1;4-14-10-15-2-12-7-8-9-5-13-6-3-11-1-4;87.63;91.8325;[87.63-95.95]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP10 PC-2;1-13-12-14-2-6-9-3-5-11-10-15-4-7-8-1;93.29;96.0475;[93.29-98.87]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP10 PC-3;5-13-9-2-11-1-14-8-10-15-7-12-4-6-3-5;87.09;94.1675;[87.09-100.67]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP50 PC-1;13-5-2-3-9-6-12-15-14-10-4-7-1-8-11-13;77.36;84.165;[77.36-90.82]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP50 PC-2;6-11-13-5-15-10-12-1-8-14-4-7-2-9-3-6;87.5;88.16;[87.5-88.63]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP50 PC-3;10-3-6-9-11-1-13-5-8-14-4-7-12-2-15-10;72.22;80.84;[72.22-86.97]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP100 PC-1;1-5-13-11-15-10-14-9-3-6-2-4-7-12-8-1;74.9;78.44;[74.9-82.57]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP100 PC-2;9-6-3-2-10-15-7-14-12-4-8-1-13-11-5-9;70.36;74.9075;[70.36-77.67]
CR-0 PN-50 G-25 PP-25 SM-1 MAX_STEP100 PC-3;14-2-6-3-9-5-8-10-15-4-7-12-1-11-13-14;77.86;82.7575;[77.86-87.19]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP10 PC-1;4-12-15-7-2-6-3-9-5-1-8-10-13-11-14-4;71.66;85.0275;[71.66-93.44]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP10 PC-2;7-2-12-10-14-8-5-9-6-3-11-1-13-4-15-7;78.6;84.3525;[78.6-89.28]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP10 PC-3;8-10-14-12-6-3-2-15-4-7-1-13-11-9-5-8;79.71;85.9025;[79.71-91.21]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP50 PC-1;13-9-3-6-15-7-12-2-4-10-14-8-1-11-5-13;54.63;62.9425;[54.63-69.86]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP50 PC-2;5-13-11-1-4-15-14-10-8-7-12-2-6-3-9-5;60.53;68.48;[60.53-75.25]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP50 PC-3;7-12-2-3-6-9-5-11-13-1-8-4-14-10-15-7;56.74;65.5775;[56.74-74.36]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP100 PC-1;1-8-14-10-7-15-4-12-2-6-3-9-11-5-13-1;51.64;62.9825;[51.64-68.06]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP100 PC-2;1-11-13-5-9-3-6-12-15-4-2-7-10-14-8-1;54.36;65.0625;[54.36-73.14]
CR-0 PN-50 G-25 PP-25 SM-2 B-2 MAX_STEP100 PC-3;8-1-11-13-5-9-2-3-6-12-15-10-14-7-4-8;64.68;70.8525;[64.68-77.05]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP10 PC-1;4-10-14-8-13-11-1-5-9-3-6-12-2-7-15-4;56.48;70.8225;[56.48-80.37]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP10 PC-2;2-12-7-14-4-10-15-11-13-5-8-1-9-3-6-2;69.31;76.7275;[69.31-90.61]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP10 PC-3;4-15-12-2-6-7-3-9-11-13-5-1-8-14-10-4;63;70.4725;[63-73.96]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP50 PC-1;4-15-14-8-13-1-11-5-9-3-6-2-7-12-10-4;59.63;66.0075;[59.63-77.62]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP50 PC-2;1-14-10-8-12-4-15-7-2-6-3-9-5-13-11-1;59.37;67.31;[59.37-75.07]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP50 PC-3;6-3-9-1-5-11-13-8-10-4-14-7-12-15-2-6;65.71;67.9025;[65.71-71.21]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP100 PC-1;12-7-15-4-10-14-8-13-1-11-5-9-2-6-3-12;63.28;69.905;[63.28-77.4]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP100 PC-2;2-6-3-9-5-13-11-1-8-14-10-4-12-7-15-2;47.03;56.7175;[47.03-67.2]
CR-0 PN-50 G-25 PP-25 SM-2 B-10 MAX_STEP100 PC-3;3-6-2-12-10-14-4-7-15-8-1-13-11-5-9-3;54.66;68.8225;[54.66-76.46]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP10 PC-1;2-7-15-14-11-5-9-8-10-4-13-1-12-6-3-2;95.96;98.8725;[95.96-102.38]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP10 PC-2;11-1-6-9-10-14-12-2-15-4-7-3-8-5-13-11;92.59;99.35;[92.59-106.17]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP10 PC-3;7-15-10-2-12-9-3-5-13-11-1-6-4-14-8-7;88.51;97.28;[88.51-105.37]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP50 PC-1;5-11-14-10-7-12-2-4-15-6-3-9-8-1-13-5;69.24;82.46;[69.24-93.52]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP50 PC-2;4-7-10-15-14-8-9-2-3-5-13-1-11-6-12-4;91.03;99.2675;[91.03-107.37]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP50 PC-3;6-2-9-1-13-5-11-8-10-15-14-7-4-12-3-6;76.79;88.575;[76.79-108.81]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP100 PC-1;11-8-4-2-12-14-10-15-7-3-6-9-5-13-1-11;70.89;85.3825;[70.89-93.24]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP100 PC-2;3-9-12-15-8-10-14-13-1-5-11-2-7-4-6-3;91.82;97.0525;[91.82-103.88]
CR-0 PN-50 G-50 PP-5 SM-1 MAX_STEP100 PC-3;2-5-13-9-11-1-6-3-14-8-15-4-10-12-7-2;91.1;96.8575;[91.1-105.06]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP10 PC-1;9-7-12-15-10-8-1-11-13-5-3-6-2-4-14-9;75.53;90.2975;[75.53-106.3]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP10 PC-2;10-9-3-6-12-7-8-1-5-11-13-14-15-2-4-10;81.53;91.0725;[81.53-96.17]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4-7-8-1-13-11-5-9-6-2-3-15-12-10-14-4;71.44;82.625;[71.44-96.83]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP50 PC-1;15-14-10-4-2-9-5-11-1-13-8-3-6-12-7-15;74.37;81.3125;[74.37-94.01]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4-14-2-12-10-7-15-5-11-13-6-3-9-1-8-4;85.5;89.28;[85.5-93.3]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP50 PC-3;7-12-8-1-13-11-9-3-2-6-5-14-10-4-15-7;75.52;83.7525;[75.52-103.18]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP100 PC-1;6-3-10-14-8-2-4-12-7-15-13-1-11-5-9-6;82.16;85.2525;[82.16-87.92]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2-6-3-9-12-4-8-1-13-11-5-10-14-7-15-2;72.43;83.6775;[72.43-97]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1-8-14-7-12-4-15-10-13-11-6-2-3-9-5-1;77.17;84.385;[77.17-97.87]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4-10-8-11-1-5-14-3-9-13-7-6-2-12-15-4;92.93;94.9525;[92.93-97.87]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP10 PC-2;11-13-5-3-4-9-2-6-15-12-7-14-8-10-1-11;92.59;96.045;[92.59-100.72]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP10 PC-3;10-14-8-1-4-11-5-13-3-6-9-2-15-12-7-10;82.64;91.2025;[82.64-101.63]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1-5-13-9-3-12-2-15-4-7-6-8-14-10-11-1;81.57;89.935;[81.57-100.16]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1-9-3-6-15-10-4-7-2-12-14-8-13-5-11-1;68.19;86.805;[68.19-99.22]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP50 PC-3;14-10-4-15-2-6-9-3-13-5-11-8-1-12-7-14;71.28;82.8075;[71.28-96.15]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP100 PC-1;8-10-4-15-2-12-7-14-13-9-6-3-5-11-1-8;73.03;86.41;[73.03-101.83]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2-3-6-9-1-5-13-11-8-10-14-15-4-7-12-2;62.51;79.4325;[62.51-87.43]
CR-0 PN-50 G-50 PP-5 SM-2 B-2 MAX_STEP100 PC-3;13-5-15-12-2-7-4-8-9-3-6-14-10-1-11-13;80.92;87.5725;[80.92-94.57]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP10 PC-1;3-1-11-13-5-8-10-4-7-2-12-9-6-14-15-3;91.59;97.1225;[91.59-101.89]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP10 PC-2;5-9-12-14-8-13-7-4-15-3-6-2-10-1-11-5;94.87;97.6925;[94.87-99.18]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP10 PC-3;1-11-5-13-3-9-6-10-4-12-2-7-8-15-14-1;84.75;91.46;[84.75-100.49]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP50 PC-1;2-15-5-13-11-1-8-12-10-14-7-6-3-9-4-2;84.91;89.0875;[84.91-94.1]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP50 PC-2;14-3-5-13-8-1-11-9-6-2-10-7-12-15-4-14;79.5;91.575;[79.5-102.87]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP50 PC-3;9-5-8-1-10-15-12-7-6-2-4-14-11-13-3-9;84.53;90.3675;[84.53-98.52]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP100 PC-1;10-14-8-4-2-3-6-7-15-12-9-13-5-11-1-10;76.98;85.9225;[76.98-94.32]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP100 PC-2;3-6-12-14-4-15-7-2-10-8-11-1-13-5-9-3;65.76;79.3675;[65.76-93.14]
CR-0 PN-50 G-50 PP-10 SM-1 MAX_STEP100 PC-3;14-8-11-13-3-6-2-9-5-1-10-7-4-12-15-14;79.04;87.345;[79.04-99.21]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP10 PC-1;6-2-12-7-4-8-14-15-10-13-11-1-5-9-3-6;66.32;78.4675;[66.32-88.44]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP10 PC-2;6-2-9-13-5-11-8-14-15-12-4-7-10-1-3-6;79.53;84.2675;[79.53-88.45]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP10 PC-3;9-5-11-7-2-12-3-6-15-4-10-14-8-1-13-9;75.28;80.7375;[75.28-90.61]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP50 PC-1;14-10-4-2-12-7-15-11-5-13-9-3-6-1-8-14;69.68;74.7175;[69.68-81.59]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP50 PC-2;13-11-8-1-14-2-7-15-4-10-12-6-3-9-5-13;65.37;72.2825;[65.37-84.21]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP50 PC-3;6-2-4-15-7-12-8-14-10-1-11-13-5-9-3-6;59;77;[59-87.86]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP100 PC-1;12-7-14-10-8-1-13-11-5-9-2-6-3-4-15-12;64.62;76.315;[64.62-82.32]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP100 PC-2;8-4-14-15-2-12-7-10-9-3-6-5-13-1-11-8;77.48;86.12;[77.48-96.21]
CR-0 PN-50 G-50 PP-10 SM-2 B-2 MAX_STEP100 PC-3;5-9-3-6-14-1-11-8-10-2-12-7-15-4-13-5;78.03;86.7675;[78.03-95.95]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP10 PC-1;3-6-2-12-7-14-8-1-13-11-15-4-10-5-9-3;70.78;77.22;[70.78-94.38]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP10 PC-2;14-4-15-2-6-7-12-1-8-9-3-5-13-11-10-14;82.25;87.23;[82.25-94.53]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP10 PC-3;13-11-1-8-10-15-7-4-12-14-2-6-3-9-5-13;58.07;74.625;[58.07-88.58]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP50 PC-1;5-9-3-6-2-8-12-14-4-7-15-10-1-13-11-5;73.57;79.265;[73.57-85.45]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP50 PC-2;1-13-5-9-3-15-6-2-7-4-10-12-14-8-11-1;75.03;78.8975;[75.03-83.6]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP50 PC-3;11-1-14-10-15-7-4-2-12-8-13-5-6-3-9-11;75.87;82.8125;[75.87-96.18]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP100 PC-1;4-14-15-7-12-6-2-9-3-1-5-11-13-8-10-4;75.31;82.8;[75.31-90.56]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP100 PC-2;6-3-9-11-13-5-1-14-8-12-10-4-15-7-2-6;66.61;77.3275;[66.61-84.69]
CR-0 PN-50 G-50 PP-10 SM-2 B-4 MAX_STEP100 PC-3;6-2-12-4-7-15-10-14-5-8-1-11-13-9-3-6;62.63;78.0825;[62.63-84.62]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP10 PC-1;5-13-7-12-4-2-6-3-9-1-14-15-10-8-11-5;79.77;88.1975;[79.77-102.17]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP10 PC-2;12-10-4-15-7-2-1-14-13-8-11-5-9-3-6-12;85.78;92.3425;[85.78-100.1]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP10 PC-3;3-13-5-6-2-12-7-4-14-15-10-8-11-1-9-3;76.71;82.83;[76.71-89.56]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP50 PC-1;13-11-5-9-3-2-6-14-10-4-8-7-12-15-1-13;77.47;85.205;[77.47-91.9]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP50 PC-2;9-14-13-5-11-1-8-10-12-15-7-4-2-6-3-9;70.8;77.5725;[70.8-85.8]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP50 PC-3;5-11-10-14-2-15-4-7-12-6-9-3-1-8-13-5;79.41;84.9025;[79.41-93.19]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP100 PC-1;10-15-14-4-7-2-12-3-6-9-13-11-5-1-8-10;66.56;73.605;[66.56-81.76]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP100 PC-2;12-4-15-7-14-10-13-8-1-11-5-9-3-6-2-12;62.22;75.63;[62.22-84.99]
CR-0 PN-50 G-50 PP-25 SM-1 MAX_STEP100 PC-3;9-3-12-2-6-10-14-15-7-4-8-11-5-1-13-9;74.83;80.1225;[74.83-88.65]
CR-0 PN-50 G-50 PP-25 SM-2 B-2 MAX_STEP10 PC-1;12-15-7-9-11-13-5-1-8-3-6-2-4-14-10-12;73.69;79.8125;[73.69-86.78]
CR-0 PN-50 G-50 PP-25 SM-2 B-2 MAX_STEP10 PC-2;5-11-13-1-3-9-10-15-12-6-2-7-4-14-8-5;79.92;81.9425;[79.92-84.45]
CR-0 PN-50 G-50 PP-25 SM-2 B-2 MAX_STEP10 PC-3;4-14-8-1-11-5-13-6-9-3-12-2-7-10-15-4;69.27;76.265;[69.27-83.86]
CR-0 PN-50 G-50 PP-25 SM-2 B-2 MAX_STEP50 PC-1;7-10-14-12-15-2-3-6-9-5-13-11-1-8-4-7;62.09;65.12;[62.09-68.18]
